FEE_DATA_SOURCE,TRAN_DT,TRAN_AM,LCTN_ID,CITY_NM,REP NAME,GRANDPARENT_CORP_DBA_NM,PARENT_,CHILD_LCTN_DBA_NM,latitude,longitude,preprocessed_address,preprocessed_partial_address
Settlement,2025-03-09,77.44,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-19,11879.33,717200153889,SHAWNEE,"Gibson, D",VAN EATON READY MIX,VAN EATON READY MIX,VAN EATON READY MIX,,,8 TIMBER POND SHAWNEE OK 74804,74804 SHAWNEE OK
Settlement,2025-04-08,282.28,717200101888,GLASGOW,"Duff, T",COX HAYWOOD SALES & SVC,COX HAYWOOD SALES & SVC,COX HAYWOOD SALES & SVC,36.945912377545,-86.003085626309,2356 FINNEY ROAD GLASGOW KY 42141,42141 GLASGOW KY
Settlement,2024-12-09,1.0,717200024882,CORBIN,"Bugg, S",CREEKSTONE RENTALS INC,CREEKSTONE RENTALS INC,CREEKSTONE RENTALS INC,36.888897309945,-84.193037158207,77 CREEKSTONE DRIVE CORBIN KY 40701,40701 CORBIN KY
Settlement,2024-12-26,1.0,717200037884,LAFAYETTE,"Duff, T",SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2024-12-27,1.0,717200037884,LAFAYETTE,"Duff, T",SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2025-03-24,175.0,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-01-08,2.58,717200042884,LEXINGTON,"Duff, T",RED BARN AND ASSOCIATES,RED BARN AND ASSOCIATES,RED BARN AND ASSOCIATES,38.018933487087,-84.570494273913,2228 BARNWELL LANE LEXINGTON KY 40513,40513 LEXINGTON KY
Settlement,2025-04-08,139.39,717200151883,NASHVILLE,"Duff, T",SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,,,501 VERITAS STREET NASHVILLE TN 37211,37211 NASHVILLE TN
Settlement,2025-03-31,382.47,717200043882,SALVISA,"Bugg, S",FAMILY AFFAIR LLC,FAMILY AFFAIR LLC,FAMILY AFFAIR LLC,,,5509 LOUISVILLE ROAD SALVISA KY 40372,40372 SALVISA KY
Settlement,2025-03-29,754.0,717200110889,ALBUQUERQUE,"Bugg, S",LOBOS MOVING,LOBOS MOVING,LOBOS MOVING,,,1115 FIQUEROA NE ALBUQUERQUE NM 87123,87123 ALBUQUERQUE NM
Settlement,2025-02-25,3359.79,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-07,37.45,717200115888,TERRE HAUTE,"Ramirez, A",HOOSIERS SPORTS CARDS 1,HOOSIERS SPORTS CARDS 1,HOOSIERS SPORTS CARDS 1,39.462988856713,-87.376017841177,2800 POPLAR STREET TERRE HAUTE IN 47803,47803 TERRE HAUTE IN
Settlement,2025-04-02,176.56,717200151883,NASHVILLE,"Duff, T",SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,,,501 VERITAS STREET NASHVILLE TN 37211,37211 NASHVILLE TN
Settlement,2025-04-02,3439.79,717200098886,FRANKLIN,"Duff, T",KNIGHTS AUTOMOTIVE,KNIGHTS AUTOMOTIVE,KNIGHTS AUTOMOTIVE,36.732586544796,-86.576988476676,707 CLAIRE AVENUE FRANKLIN KY 42134,42134 FRANKLIN KY
Settlement,2025-03-27,5583.13,717160011887,KNOXVILLE,"Ely, E",KNOX RAIL SALVAGE MAGNOL,KNOX RAIL SALVAGE MAGNOL,KNOX RAIL SALVAGE GREENW,36.031725607565,-83.900113876219,4214 GREENWAY DRIVE KNOXVILLE TN 37918,37918 KNOXVILLE TN
Settlement,2025-03-31,544.07,717160012885,KNOXVILLE,"Ely, E",KNOX RAIL SALVAGE MAGNOL,KNOX RAIL SALVAGE MAGNOL,OLD CITY KITCHENS,35.972275584595,-83.918388047723,218 EAST DEPOT AVENUE KNOXVILLE TN 37917,37917 KNOXVILLE TN
Settlement,2025-03-07,307.37,717200078888,SPRINGFIELD,"Traynor, T",ALL AMERICAN READY MIX,ALL AMERICAN READY MIX,ALL AMERICAN READY MIX,39.829427073054,-89.679478601429,2 BUECKER LANE SPRINGFIELD IL 62707,62707 SPRINGFIELD IL
Settlement,2025-03-26,676.52,717200078888,SPRINGFIELD,"Traynor, T",ALL AMERICAN READY MIX,ALL AMERICAN READY MIX,ALL AMERICAN READY MIX,39.829427073054,-89.679478601429,2 BUECKER LANE SPRINGFIELD IL 62707,62707 SPRINGFIELD IL
Settlement,2025-03-04,5968.85,717200113883,AUBURN,"Duff, T",GENESIS READY MIX,GENESIS READY MIX,GENESIS READY MIX,,,55 CEDAR SPRINGS LANE AUBURN KY 42206,42206 AUBURN KY
Settlement,2025-03-12,254.97,717200037884,LAFAYETTE,"Duff, T",SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2025-02-10,1.03,717200059888,CLARKSVILLE,"Duff, T",SCREAMING EAGLE,SCREAMING EAGLE,SCREAMING EAGLE,36.574902153839,-87.248882439434,1040 INTERNATIONAL BOULEVARD CLARKSVILLE TN 37040,37040 CLARKSVILLE TN
Settlement,2025-04-08,153.85,717200133881,COLUMBIA,"Bugg, S",CRYSTAL CLEAN,CRYSTAL CLEAN,CRYSTAL CLEAN,34.065942272294,-81.190145612042,116 STEPHENSON LANE COLUMBIA SC 29212,29212 COLUMBIA SC
Settlement,2025-02-20,1306.1,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-15,1710.65,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-04-04,1977.07,717200144888,NASHVILLE,SkyUnassigned,STEPHENS MILLWORK,STEPHENS MILLWORK,STEPHENS MILLWORK,,,104 SUNSET DRIVE NASHVILLE TN 37207,37207 NASHVILLE TN
Settlement,2025-04-03,174.98,717160010889,KNOXVILLE,"Ely, E",KNOX RAIL SALVAGE MAGNOL,KNOX RAIL SALVAGE MAGNOL,KNOX RAIL SALVAGE MAGNOL,35.973009274749,-83.919327466625,200 EAST MAGNOLIA AVENUE KNOXVILLE TN 37917,37917 KNOXVILLE TN
Settlement,2025-04-07,59.37,717200116886,DANVILLE,"Bugg, S",DANIELLES DRIVE AWAY,DANIELLES DRIVE AWAY,DANIELLES DRIVE AWAY,37.635486980056,-84.792992917078,1318 LEBANON ROAD DANVILLE KY 40422,40422 DANVILLE KY
Settlement,2025-02-27,258.13,717200081882,RUSSELLVILLE,"Duff, T",SHOEMAKE TRUCK REPAIR,SHOEMAKE TRUCK REPAIR,SHOEMAKE TRUCK REPAIR,,,302 HANCOCK LAKE ROAD RUSSELLVILLE KY 42276,42276 RUSSELLVILLE KY
Settlement,2025-03-10,107.0,717200115888,TERRE HAUTE,"Ramirez, A",HOOSIERS SPORTS CARDS 1,HOOSIERS SPORTS CARDS 1,HOOSIERS SPORTS CARDS 1,39.462988856713,-87.376017841177,2800 POPLAR STREET TERRE HAUTE IN 47803,47803 TERRE HAUTE IN
Settlement,2025-03-24,1176.98,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-23,703.69,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-05,160.0,717200131885,LAFAYETTE,"Duff, T",SHOCKLEYS TOWING,SHOCKLEYS TOWING,SHOCKLEYS TOWING,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2025-03-25,894.09,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-21,77.44,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-05,136.22,717200082880,SOMERSET,SkyUnassigned,SOMERSET AUTO SALES LLC,SOMERSET AUTO SALES LLC,SOMERSET AUTO SALES LLC,,,145 SOUTH HIGHWAY 27 SOMERSET KY 42501,42501 SOMERSET KY
Settlement,2025-04-02,51.44,717200102886,FLEMINGSBURG,"Bugg, S",A & H WHOLESALE FLEMINGB,A & H WHOLESALE FLEMINGB,A & H WHOLESALE FLEMINGB,38.416682053105,-83.72566436939,395 WEST WATER STREET FLEMINGSBURG KY 41041,41041 FLEMINGSBURG KY
Settlement,2025-02-10,1.03,717200059888,CLARKSVILLE,"Duff, T",SCREAMING EAGLE,SCREAMING EAGLE,SCREAMING EAGLE,36.574902153839,-87.248882439434,1040 INTERNATIONAL BOULEVARD CLARKSVILLE TN 37040,37040 CLARKSVILLE TN
Settlement,2025-03-11,2.06,717200157880,COLUMBIA,"Lawhon, H",VIP MOVING AND STORAGE,VIP MOVING AND STORAGE,VIP MOVING AND STORAGE,,,200 WEST 12TH STREET COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-22,462.89,717200043882,SALVISA,"Bugg, S",FAMILY AFFAIR LLC,FAMILY AFFAIR LLC,FAMILY AFFAIR LLC,,,5509 LOUISVILLE ROAD SALVISA KY 40372,40372 SALVISA KY
Settlement,2025-03-22,242.27,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-04-05,42.8,717200147881,SULLIVAN,"Ramirez, A",HOOSIER SPORTS CARDS,HOOSIER SPORTS CARDS,HOOSIER SPORTS CARDS,39.095649025987,-87.408302740237,19 N. COURT STREET SULLIVAN IN 47882,47882 SULLIVAN IN
Settlement,2025-03-28,38.26,717200153889,SHAWNEE,"Gibson, D",VAN EATON READY MIX,VAN EATON READY MIX,VAN EATON READY MIX,,,8 TIMBER POND SHAWNEE OK 74804,74804 SHAWNEE OK
Settlement,2025-03-24,77.44,717200159886,BOWLING GREEN,"Duff, T",PAYNES A1 TOWING,PAYNES A1 TOWING,PAYNES A1 TOWING,37.012684145233,-86.44920774727,550 POWER STREET BOWLING GREEN KY 42101,42101 BOWLING GREEN KY
Settlement,2025-03-10,345.71,717200098886,FRANKLIN,"Duff, T",KNIGHTS AUTOMOTIVE,KNIGHTS AUTOMOTIVE,KNIGHTS AUTOMOTIVE,36.732586544796,-86.576988476676,707 CLAIRE AVENUE FRANKLIN KY 42134,42134 FRANKLIN KY
Settlement,2025-04-07,2502.68,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-04-02,10.94,717200102886,FLEMINGSBURG,"Bugg, S",A & H WHOLESALE FLEMINGB,A & H WHOLESALE FLEMINGB,A & H WHOLESALE FLEMINGB,38.416682053105,-83.72566436939,395 WEST WATER STREET FLEMINGSBURG KY 41041,41041 FLEMINGSBURG KY
Settlement,2025-02-05,1182.24,717200037884,LAFAYETTE,"Duff, T",SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2025-04-03,48.16,717200179884,RUSSELLVILLE,"Duff, T",TWISTED METAL OFF ROAD,TWISTED METAL OFF ROAD,TWISTED METAL OFF ROAD,,,508 WEST 7TH STREET RUSSELLVILLE KY 42276,42276 RUSSELLVILLE KY
Settlement,2025-03-10,1198.18,717200078888,SPRINGFIELD,"Traynor, T",ALL AMERICAN READY MIX,ALL AMERICAN READY MIX,ALL AMERICAN READY MIX,39.829427073054,-89.679478601429,2 BUECKER LANE SPRINGFIELD IL 62707,62707 SPRINGFIELD IL
Settlement,2025-02-24,1212.85,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-24,175.0,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-19,1.03,717200153889,SHAWNEE,"Gibson, D",VAN EATON READY MIX,VAN EATON READY MIX,VAN EATON READY MIX,,,8 TIMBER POND SHAWNEE OK 74804,74804 SHAWNEE OK
Settlement,2025-03-17,206.5,717200138880,TAMPA,"Duff, T",V AND R TRUCK SRVC,V AND R TRUCK SRVC,V AND R TRUCK SRVC,,,611 RIVER BAY DRIVE TAMPA FL 33619,33619 TAMPA FL
Settlement,2025-03-25,1325.85,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-05,1424.06,717200110889,ALBUQUERQUE,"Bugg, S",LOBOS MOVING,LOBOS MOVING,LOBOS MOVING,,,1115 FIQUEROA NE ALBUQUERQUE NM 87123,87123 ALBUQUERQUE NM
Settlement,2025-03-13,129.07,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-24,143.02,717200118882,CINCINNATI,"Black, S",ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,39.145058231726,-84.54149785695,3411 SPRING GROVE AVENUE CINCINNATI OH 45225,45225 CINCINNATI OH
Settlement,2025-03-31,150.0,717200136884,GALLATIN,"Duff, T",SAVIOR TOWING,SAVIOR TOWING,SAVIOR TOWING,,,1111 AVITT LANE GALLATIN TN 37206,37206 GALLATIN TN
Settlement,2025-03-17,2.06,717200153889,SHAWNEE,"Gibson, D",VAN EATON READY MIX,VAN EATON READY MIX,VAN EATON READY MIX,,,8 TIMBER POND SHAWNEE OK 74804,74804 SHAWNEE OK
Settlement,2025-04-04,64.2,717200147881,SULLIVAN,"Ramirez, A",HOOSIER SPORTS CARDS,HOOSIER SPORTS CARDS,HOOSIER SPORTS CARDS,39.095649025987,-87.408302740237,19 N. COURT STREET SULLIVAN IN 47882,47882 SULLIVAN IN
Settlement,2025-03-27,77.44,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-29,1251.2,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-28,51.63,717200181880,SCOTTSVILLE,"Duff, T",GOAD FUNERAL HOME,GOAD FUNERAL HOME,GOAD FUNERAL HOME,36.753511972481,-86.191874557047,215 WEST MAIN STREET SCOTTSVILLE KY 42164,42164 SCOTTSVILLE KY
Settlement,2025-01-28,917.53,717200040888,FARMERS BRANCH,"Bugg, S",CRETEX CONCRETE INC,CRETEX CONCRETE INC,CRETEX CONCRETE INC,32.911681311501,-96.887987203503,2665 VILLA CREEK DRIVE FARMERS BRANCH TX 75234,75234 FARMERS BRANCH TX
Settlement,2025-03-21,592.2,717200110889,ALBUQUERQUE,"Bugg, S",LOBOS MOVING,LOBOS MOVING,LOBOS MOVING,,,1115 FIQUEROA NE ALBUQUERQUE NM 87123,87123 ALBUQUERQUE NM
Settlement,2025-03-20,1862.79,717200153889,SHAWNEE,"Gibson, D",VAN EATON READY MIX,VAN EATON READY MIX,VAN EATON READY MIX,,,8 TIMBER POND SHAWNEE OK 74804,74804 SHAWNEE OK
Settlement,2025-03-14,992.68,717200058880,SPRINGFIELD,"Lawhon, H",JONATHAN BUCK,JONATHAN BUCK,JONATHAN BUCK,,,3831 OLD STATE HIGHWAY 11 SPRINGFIELD TN 37172,37172 SPRINGFIELD TN
Settlement,2025-04-02,236.45,717200133881,COLUMBIA,"Bugg, S",CRYSTAL CLEAN,CRYSTAL CLEAN,CRYSTAL CLEAN,34.065942272294,-81.190145612042,116 STEPHENSON LANE COLUMBIA SC 29212,29212 COLUMBIA SC
Settlement,2025-03-12,200.0,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-22,441.09,717200169885,IRVINE,SkyUnassigned,CLEAN CAREFUL MOVING,CLEAN CAREFUL MOVING,CLEAN CAREFUL MOVING,33.669424865352,-117.846997777266,65 EAST PLATINE IRVINE CA 92612,92612 IRVINE CA
Settlement,2025-03-31,7044.06,717200173887,TUTTLE,"Duff, T",GENESIS CONCRETE CO,GENESIS CONCRETE CO,GENESIS CONCRETE CO,35.247346608531,-97.746382462391,2072 FOX LANE TUTTLE OK 73089,73089 TUTTLE OK
Settlement,2025-03-29,559.28,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-04-04,52.41,717200043882,SALVISA,"Bugg, S",FAMILY AFFAIR LLC,FAMILY AFFAIR LLC,FAMILY AFFAIR LLC,,,5509 LOUISVILLE ROAD SALVISA KY 40372,40372 SALVISA KY
Settlement,2025-01-15,8553.61,717200040888,FARMERS BRANCH,"Bugg, S",CRETEX CONCRETE INC,CRETEX CONCRETE INC,CRETEX CONCRETE INC,32.911681311501,-96.887987203503,2665 VILLA CREEK DRIVE FARMERS BRANCH TX 75234,75234 FARMERS BRANCH TX
Settlement,2025-03-17,82.6,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-07,1445.53,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-14,125.0,717200136884,GALLATIN,"Duff, T",SAVIOR TOWING,SAVIOR TOWING,SAVIOR TOWING,,,1111 AVITT LANE GALLATIN TN 37206,37206 GALLATIN TN
Settlement,2025-03-28,77.44,717200159886,BOWLING GREEN,"Duff, T",PAYNES A1 TOWING,PAYNES A1 TOWING,PAYNES A1 TOWING,37.012684145233,-86.44920774727,550 POWER STREET BOWLING GREEN KY 42101,42101 BOWLING GREEN KY
Settlement,2025-02-15,1326.58,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-04-02,567.89,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-04-09,98.33,717160010889,KNOXVILLE,"Ely, E",KNOX RAIL SALVAGE MAGNOL,KNOX RAIL SALVAGE MAGNOL,KNOX RAIL SALVAGE MAGNOL,35.973009274749,-83.919327466625,200 EAST MAGNOLIA AVENUE KNOXVILLE TN 37917,37917 KNOXVILLE TN
Settlement,2025-03-07,671.63,717200125887,MT STERLING,"Bugg, S",ROADRUNNERS AUTO,ROADRUNNERS AUTO,ROADRUNNERS AUTO,38.062228027935,-83.931305250941,705 OLD OWINGSVILLE ROAD MT STERLING KY 40353,40353 MT STERLING KY
Settlement,2025-03-19,619.92,717200074887,BOWLING GREEN,"Duff, T",BOWEN TIRE,BOWEN TIRE,BOWEN TIRE,36.98110353758,-86.402881134031,704 BRIARWOOD COURT BOWLING GREEN KY 42104,42104 BOWLING GREEN KY
Settlement,2025-04-02,129.07,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-06,2.19,717200141884,BARBOURVILLE,"Bugg, S",HOME RESCUE MECH,HOME RESCUE MECH,HOME RESCUE MECH,36.829843743532,-83.944568715224,918 BULL RUN ROAD BARBOURVILLE KY 40906,40906 BARBOURVILLE KY
Settlement,2025-03-25,1647.53,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-04-01,1463.43,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-10,412.53,717200074887,BOWLING GREEN,"Duff, T",BOWEN TIRE,BOWEN TIRE,BOWEN TIRE,36.98110353758,-86.402881134031,704 BRIARWOOD COURT BOWLING GREEN KY 42104,42104 BOWLING GREEN KY
Settlement,2025-03-10,254.97,717200037884,LAFAYETTE,"Duff, T",SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,SHOCKLEYS AUTO BODY,,,2744 HIGHWAY 52 WEST LAFAYETTE TN 37083,37083 LAFAYETTE TN
Settlement,2025-01-22,2.19,717200043882,SALVISA,"Bugg, S",FAMILY AFFAIR LLC,FAMILY AFFAIR LLC,FAMILY AFFAIR LLC,,,5509 LOUISVILLE ROAD SALVISA KY 40372,40372 SALVISA KY
Settlement,2025-04-02,2358.33,717200118882,CINCINNATI,"Black, S",ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,ECONOMY SHINGLE SALES,39.145058231726,-84.54149785695,3411 SPRING GROVE AVENUE CINCINNATI OH 45225,45225 CINCINNATI OH
Settlement,2025-03-31,181.72,717200099884,PERRY,"Traynor, T",AESTHETIC NURSE,AESTHETIC NURSE,AESTHETIC NURSE,39.431203722372,-91.674823945624,109 EAST MAIN STREET PERRY MO 63462,63462 PERRY MO
Settlement,2025-03-26,103.25,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-04-07,258.13,717200187887,NOLENSVILLE,"Duff, T",DAVS TOWING SERVICE,DAVS TOWING SERVICE,DAVS TOWING SERVICE,35.976782889038,-86.661419119037,2122 KIDD ROAD NOLENSVILLE TN 37135,37135 NOLENSVILLE TN
Settlement,2025-03-01,1201.89,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-04-04,77.44,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
Settlement,2025-03-18,164.17,717200125887,MT STERLING,"Bugg, S",ROADRUNNERS AUTO,ROADRUNNERS AUTO,ROADRUNNERS AUTO,38.062228027935,-83.931305250941,705 OLD OWINGSVILLE ROAD MT STERLING KY 40353,40353 MT STERLING KY
Settlement,2025-04-04,309.76,717200105889,FRENCHBURG,"Bugg, S",NEIGHBORS GARAGE,NEIGHBORS GARAGE,NEIGHBORS GARAGE,,,OLD US HIGHWAY 460 FRENCHBURG KY 40322,40322 FRENCHBURG KY
Settlement,2025-03-22,65.67,717200102886,FLEMINGSBURG,"Bugg, S",A & H WHOLESALE FLEMINGB,A & H WHOLESALE FLEMINGB,A & H WHOLESALE FLEMINGB,38.416682053105,-83.72566436939,395 WEST WATER STREET FLEMINGSBURG KY 41041,41041 FLEMINGSBURG KY
Settlement,2025-03-07,134.23,717200121886,GALLATIN,"Duff, T",HIPPIE HOUNDS PET SALON,HIPPIE HOUNDS PET SALON,HIPPIE HOUNDS PET SALON,36.390167810787,-86.44699883869,207 NORTH WATER AVENUE GALLATIN TN 37066,37066 GALLATIN TN
Settlement,2025-03-18,170.37,717200151883,NASHVILLE,"Duff, T",SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,SOUTH NASHVILLE HEATING,,,501 VERITAS STREET NASHVILLE TN 37211,37211 NASHVILLE TN
Settlement,2025-03-31,2186.28,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-16,992.65,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-12,1107.19,717200096880,NOBLESVILLE,SkyUnassigned,COLT MOVING,COLT MOVING,COLT MOVING,40.035829186909,-86.079404521825,17080 BITTNER WAY NOBLESVILLE IN 46062,46062 NOBLESVILLE IN
Settlement,2025-03-18,516.26,717200128881,COLUMBIA,"Duff, T",D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,D D TOWING AND RECOVERY,35.578277235296,-87.046051166449,2643 LEAH DRIVE COLUMBIA TN 38401,38401 COLUMBIA TN
